loan_amnt,int_rate,loan_status,model_scored
2500.0,15.27,0,0.8665338458039984
10000.0,13.49,1,0.8474620100213767
3000.0,18.64,1,0.7402236681385013
5375.0,12.69,0,0.7551670969774673
3000.0,9.91,1,0.7023019641474353
8500.0,11.71,1,0.8367052329694444
31825.0,7.9,1,0.9536042169182718
5000.0,8.9,1,0.9203341294431934
10800.0,9.91,1,0.9324807943542357
15000.0,7.9,1,0.944593100624667
12500.0,12.69,1,0.7600907058990108
14000.0,9.91,1,0.9448964399777051
12000.0,9.91,1,0.8902872920748551
16000.0,19.91,1,0.7201321553500546
10000.0,10.65,1,0.8791823103904163
13000.0,12.69,1,0.7862358111038582
17675.0,14.65,1,0.7563956344330353
15000.0,14.65,1,0.8381414041863116
14400.0,8.9,1,0.9647924366336388
7000.0,12.69,1,0.821387147926995
4500.0,10.65,1,0.8716192486228344
12000.0,10.65,1,0.8931044002719408
7000.0,10.65,1,0.8501712007941631
10500.0,12.69,1,0.8999362940369949
17500.0,17.27,0,0.7650015803379034
6000.0,8.9,1,0.9136444521425389
7200.0,9.91,1,0.958473512931111
24000.0,10.65,1,0.8096334957859093
12000.0,11.71,1,0.92701842974522
25000.0,13.49,0,0.8795493885008715
19750.0,10.65,0,0.8920015698299854
28000.0,19.91,0,0.6458073040940341
10000.0,7.51,1,0.9158188336199191
7000.0,12.69,1,0.8279853486577808
10625.0,7.51,1,0.9088007767850905
8850.0,6.62,1,0.9570526733193593
11100.0,6.62,0,0.869971496752592
4200.0,11.71,1,0.8779443384344587
14000.0,14.27,1,0.8427922123092088
12000.0,9.91,0,0.8796049299316022
6000.0,10.65,1,0.9352954481196237
12000.0,16.29,1,0.8398547137812737
8500.0,6.03,1,0.9564055413677416
8000.0,9.91,1,0.9028624802796802
16000.0,15.27,1,0.7271761740125137
10000.0,6.62,1,0.9583485765150463
8000.0,14.65,1,0.7972379415825905
22000.0,9.91,1,0.9562972633788253
10000.0,13.49,1,0.7892091443569279
7325.0,12.69,1,0.8574754195978993
7750.0,17.27,0,0.7084982242070232
20000.0,20.89,0,0.6449976799598889
9600.0,12.42,1,0.8982889246198946
14000.0,10.65,1,0.8927156954426186
13350.0,12.42,1,0.7972805112307467
12000.0,10.65,1,0.8981665605729784
28000.0,17.58,1,0.7976622963272221
9000.0,12.69,1,0.87032314237297
13250.0,10.65,1,0.8425542810450487
12000.0,9.91,1,0.9454960014235078
2000.0,15.27,1,0.820341272588316
5300.0,15.27,1,0.6788940607890901
21000.0,17.27,1,0.862714499995128
24250.0,23.91,1,0.674452737524457
1500.0,17.27,1,0.8609068897047553
10000.0,12.69,0,0.9056265671193648
16500.0,8.9,1,0.9430343513016926
12000.0,14.65,1,0.8514351780577912
12000.0,9.91,1,0.9675736852082658
14125.0,9.91,1,0.8725479875430853
14000.0,12.69,1,0.8898096022128172
5500.0,7.9,1,0.932450552749198
7350.0,11.71,1,0.7715808461660971
12000.0,7.51,1,0.9223701624537832
5000.0,11.71,1,0.8066303440021345
4500.0,8.9,1,0.9453217944264312
12000.0,8.9,0,0.95676642199856
5000.0,6.03,1,0.9833205017187201
8000.0,15.96,1,0.8225448237569625
10000.0,6.03,1,0.9599495205281895
12000.0,12.42,1,0.8098049420183453
4800.0,15.27,1,0.8498652637598536
12000.0,8.9,1,0.9120707581322515
13250.0,17.27,1,0.7748794342812916
6000.0,10.65,1,0.8378472478904307
14000.0,14.27,1,0.9186101407901069
20000.0,20.3,0,0.5865108155951744
10000.0,16.29,1,0.7636434647627576
35000.0,20.3,1,0.7188121406765158
4000.0,6.03,1,0.9783850950784267
20000.0,7.9,1,0.9489782503118002
18000.0,9.91,1,0.9557484066588211
25000.0,18.64,0,0.7151793971087931
10000.0,11.71,1,0.8640800274395094
4475.0,15.27,1,0.7738935145653879
12000.0,9.91,0,0.9324013220401679
20000.0,15.27,1,0.7938087578700346
10000.0,13.49,1,0.94107963473095
12000.0,7.9,1,0.9606733340440532
8250.0,15.96,1,0.8026484397834575
20000.0,12.69,1,0.8988650364868196
12000.0,11.71,0,0.8690843523977027
10000.0,10.65,1,0.9183395892331774
16000.0,19.03,1,0.6709377677901226
21500.0,17.58,1,0.7816919949454051
18000.0,15.96,1,0.7663762218794054
7200.0,7.9,1,0.9508775734673887
25000.0,19.42,0,0.6485896450665225
10000.0,15.96,1,0.8116752653086098
17000.0,15.27,1,0.7705601892796742
10000.0,9.91,1,0.936707905938262
12000.0,8.9,0,0.9212707570773696
15000.0,12.69,0,0.7504752975719714
7000.0,11.71,1,0.9132301796489268
5400.0,7.9,1,0.9330962733870236
35000.0,12.42,1,0.9354321017648229
6000.0,7.9,0,0.9428182207038428
4125.0,12.69,1,0.7763776967356156
9800.0,16.29,1,0.826892986707129
12000.0,15.27,1,0.8226805068154636
15000.0,8.9,1,0.9304131979004719
8000.0,15.96,1,0.8014029791316364
10000.0,7.9,1,0.9549398135992478
15000.0,19.03,1,0.7017722860894108
20000.0,16.77,0,0.7513026538541258
16500.0,8.9,1,0.9218689980984975
8125.0,7.9,1,0.8365810479674929
18800.0,7.51,1,0.9764632007933071
4000.0,9.91,1,0.9379878804927545
8000.0,6.03,1,0.9350222991982127
4200.0,17.27,0,0.7741862003438875
5400.0,12.69,1,0.9033688188446883
15000.0,16.29,0,0.8756563479216072
10400.0,12.69,1,0.8433737703584006
4500.0,17.58,1,0.7501710622277229
18225.0,13.49,1,0.7069447249126561
18500.0,11.71,1,0.9093291517859018
15000.0,18.25,1,0.750069914157595
25000.0,16.77,1,0.8123369228251636
16000.0,7.9,0,0.9524898673541211
7200.0,7.51,1,0.9348371531482456
25000.0,19.42,0,0.7808623621057358
14400.0,15.27,1,0.7593829421231447
